Community Area Number,COMMUNITY AREA NAME,HARDSHIP INDEX,Business Count,Housing Count,Housing Count Units,Hospital Count,Charter School Elementary Count,Charter School High School Count,District School Elementary Count,District School High School Count,ALOP/Safe School Elementary Count,ALOP/Safe School High School Count,Crime Count,Grocery Stores,PERCENT OF HOUSING CROWDED,%_OF_HOUSING_CROWDED,%_OF_HOUSEHOLDS_BELOW_POVERTY,%_AGED_16+_UNEMPLOYED,%_AGED_25+_WITHOUT_HIGH_SCHOOL_DIPLOMA,PERCENT_AGED_UNDER_18_OR_OVER_64,PER_CAPITA_INCOME
47,Burnside,79,32,0,0,0,0,0,1,0,0,0,343,0,6.8,6.8,33.0,18.6,19.3,42.7,12515
48,Calumet Heights,38,140,1,134,0,0,0,5,0,0,0,1678,0,2.1,2.1,11.5,20.0,11.0,44.0,28887
49,Roseland,52,329,7,340,2,1,0,9,3,0,0,5934,1,2.5,2.5,19.8,20.3,16.9,41.2,17949
50,Pullman,51,105,1,210,1,0,2,4,1,0,0,1069,1,1.5,1.5,21.6,22.8,13.1,38.6,20588
51,South Deering,65,225,1,86,0,0,0,3,0,0,0,2037,3,4.0,4.0,29.2,16.3,21.0,39.5,14685
52,East Side,64,237,0,0,1,0,0,4,1,0,0,1408,2,6.8,6.8,19.2,12.1,31.9,42.8,17104
53,West Pullman,62,180,4,262,0,1,1,7,0,0,0,3471,1,3.3,3.3,25.9,19.4,20.5,42.1,16563
54,Riverdale,98,28,2,333,0,1,1,3,1,0,0,1205,0,5.8,5.8,56.5,34.6,27.5,51.5,8201
55,Hegewisch,44,89,1,116,1,0,0,2,0,0,0,845,1,3.3,3.3,17.1,9.6,19.2,42.9,22677
56,Garfield Ridge,32,509,3,228,2,1,0,4,1,0,0,2239,3,2.6,2.6,8.8,11.3,19.3,38.1,26353
57,Archer Heights,67,329,0,0,1,2,1,1,1,0,0,1006,3,8.5,8.5,14.1,16.5,35.9,39.2,16134
58,Brighton Park,84,599,1,30,2,3,0,8,1,0,1,2335,2,14.4,14.4,23.6,13.9,45.1,39.3,13089
59,McKinley Park,61,257,0,0,1,1,0,4,0,0,0,1000,4,7.2,7.2,18.7,13.4,32.9,35.6,16954
60,Bridgeport,43,539,2,140,0,0,0,5,0,0,0,1648,1,4.5,4.5,18.9,13.7,22.2,31.3,22694
61,New City,91,1491,4,336,5,1,0,11,4,0,0,4066,4,11.9,11.9,29.0,23.0,41.5,38.9,12765
62,West Elsdon,69,230,1,78,1,0,0,2,1,0,0,1038,3,11.1,11.1,15.6,16.7,37.0,37.7,15754
63,Gage Park,93,414,1,59,1,3,1,8,2,0,0,2489,5,15.8,15.8,23.4,18.2,51.5,38.8,12171
64,Clearing,29,277,0,0,0,0,0,4,0,0,0,1189,1,2.7,2.7,8.9,9.5,18.8,37.6,25113
65,West Lawn,56,416,1,89,0,0,0,3,1,0,0,1740,2,5.8,5.8,14.9,9.6,33.6,39.6,16907
66,Chicago Lawn,80,519,4,341,4,1,0,7,0,0,2,5295,3,7.6,7.6,27.9,17.1,31.2,40.6,13231
67,West Englewood,89,276,4,224,0,3,0,7,3,0,0,4682,2,4.8,4.8,34.4,35.9,26.3,40.7,11317
68,Englewood,94,197,10,822,4,1,3,10,3,0,2,5029,2,3.8,3.8,46.6,28.0,28.5,42.5,11888
69,Greater Grand Crossing,66,462,1,24,1,1,1,8,1,0,0,6541,1,3.6,3.6,29.6,23.0,16.5,41.0,17285
70,Ashburn,37,420,1,85,0,1,0,7,2,0,1,2299,2,4.0,4.0,10.4,11.7,17.7,36.9,23482
71,Auburn Gresham,74,443,6,406,2,1,5,9,0,0,0,6731,5,4.0,4.0,27.6,28.3,18.5,41.9,15528
72,Beverly,12,301,0,0,0,0,0,4,0,0,0,1038,0,0.9,0.9,5.1,8.0,3.7,40.5,39523
73,Washington Height,48,236,3,146,1,2,1,8,1,0,0,3004,2,1.1,1.1,16.9,20.8,13.7,42.6,19713
74,Mount Greenwood,16,177,0,0,0,0,0,3,1,0,0,434,1,1.0,1.0,3.4,8.7,4.3,36.8,34381
75,Morgan Park,30,248,0,0,0,0,1,4,1,0,2,1880,4,0.8,0.8,13.2,15.0,10.8,40.3,27149
76,O'Hare,24,541,0,0,0,0,0,1,0,0,0,1529,1,3.6,3.6,15.4,7.1,10.9,30.3,25828
77,Edgewater,19,782,7,529,1,1,0,3,2,0,0,3425,5,4.1,4.1,18.2,9.2,9.7,23.8,33385
